asv_id	System
ASV_469	Stream
ASV_470	Stream
ASV_471	Stream
ASV_472	Stream
ASV_473	Stream
ASV_500	Stream
ASV_502	Stream
ASV_503	Stream
ASV_529	Stream
ASV_530	Stream
ASV_531	Stream
ASV_532	Stream
ASV_533	Stream
ASV_568	Stream
ASV_569	Stream
ASV_570	Stream
ASV_571	Stream
ASV_572	Stream
ASV_573	Stream
ASV_574	Stream
ASV_575	Stream
ASV_576	Stream
ASV_619	Stream
ASV_620	Stream
ASV_621	Stream
ASV_622	Stream
ASV_623	Stream
ASV_624	Stream
ASV_668	Stream
ASV_669	Stream
ASV_670	Stream
ASV_671	Stream
ASV_672	Stream
ASV_673	Stream
ASV_674	Stream
ASV_675	Stream
ASV_676	Stream
ASV_677	Stream
ASV_678	Stream
ASV_727	Stream
ASV_728	Stream
ASV_729	Stream
ASV_730	Stream
ASV_731	Stream
ASV_732	Stream
ASV_733	Stream
ASV_734	Stream
ASV_735	Stream
ASV_736	Stream
ASV_737	Stream
ASV_794	Stream
ASV_795	Stream
ASV_796	Stream
ASV_797	Stream
ASV_798	Stream
ASV_799	Stream
ASV_800	Stream
ASV_801	Stream
ASV_862	Stream
ASV_863	Stream
ASV_864	Stream
ASV_865	Stream
ASV_866	Stream
ASV_919	Stream
ASV_17	Stream
ASV_35	Stream
ASV_50	Stream
ASV_57	Stream
ASV_70	Stream
ASV_72	Stream
ASV_79	Stream
ASV_100	Stream
ASV_107	Stream
ASV_116	Stream
ASV_123	Stream
ASV_126	Stream
ASV_141	Stream
ASV_147	Stream
ASV_151	Stream
ASV_152	Stream
ASV_160	Stream
ASV_161	Stream
ASV_171	Stream
ASV_181	Stream
ASV_186	Stream
ASV_192	Stream
ASV_193	Stream
ASV_204	Stream
ASV_205	Stream
ASV_216	Stream
ASV_222	Stream
ASV_223	Stream
ASV_224	Stream
ASV_225	Stream
ASV_239	Stream
ASV_240	Stream
ASV_247	Stream
ASV_248	Stream
ASV_261	Stream
ASV_262	Stream
ASV_277	Stream
ASV_291	Stream
ASV_297	Stream
ASV_298	Stream
ASV_299	Stream
ASV_300	Stream
