"asv_id","System_derep"
"ASV_798","Stream"
"ASV_799","Stream"
"ASV_800","Stream"
"ASV_862","Stream"
"ASV_863","Stream"
"ASV_864","Stream"
"ASV_865","Stream"
"ASV_866","Stream"
"ASV_919","Stream"
"ASV_47","Stream"
"ASV_88","Stream"
"ASV_95","Stream"
"ASV_136","Stream"
"ASV_145","Stream"
"ASV_166","Stream"
"ASV_171","Stream"
"ASV_213","Stream"
"ASV_222","Stream"
"ASV_228","Stream"
"ASV_239","Stream"
"ASV_262","Stream"
"ASV_297","Stream"
"ASV_315","Stream"
"ASV_316","Stream"
"ASV_318","Stream"
"ASV_337","Stream"
"ASV_352","Stream"
"ASV_370","Stream"
"ASV_396","Stream"
"ASV_416","Stream"
"ASV_419","Stream"
"ASV_420","Stream"
"ASV_447","Stream"
"ASV_471","Stream"
"ASV_473","Stream"
"ASV_474","Stream"
"ASV_475","Stream"
"ASV_504","Stream"
"ASV_535","Stream"
"ASV_567","Stream"
"ASV_577","Stream"
"ASV_581","Stream"
"ASV_623","Stream"
"ASV_666","Stream"
"ASV_738","Stream"
"ASV_739","Stream"
"ASV_740","Stream"
"ASV_801","Stream"
"ASV_802","Stream"
"ASV_803","Stream"
"ASV_804","Stream"
"ASV_806","Stream"
"ASV_867","Stream"
"ASV_868","Stream"
"ASV_869","Stream"
"ASV_870","Stream"
"ASV_871","Stream"
"ASV_920","Stream"
"ASV_921","Stream"
"ASV_922","Stream"
"ASV_923","Stream"
"ASV_924","Stream"
"ASV_52","Stream"
"ASV_150","Stream"
"ASV_160","Stream"
"ASV_174","Stream"
"ASV_220","Stream"
"ASV_221","Stream"
"ASV_223","Stream"
"ASV_230","Stream"
"ASV_290","Stream"
"ASV_355","Stream"
"ASV_366","Stream"
"ASV_388","Stream"
"ASV_393","Stream"
"ASV_397","Stream"
"ASV_421","Stream"
"ASV_422","Stream"
"ASV_425","Stream"
"ASV_441","Stream"
"ASV_446","Stream"
"ASV_476","Stream"
"ASV_507","Stream"
"ASV_533","Stream"
"ASV_537","Stream"
"ASV_575","Stream"
"ASV_579","Stream"
"ASV_585","Stream"
"ASV_624","Stream"
"ASV_627","Stream"
"ASV_629","Stream"
"ASV_630","Stream"
"ASV_631","Stream"
